"縣市","統計期","業者名稱","類別","基地臺"
"臺東縣","1130331","中華電信股份有限公司                                                            ","4G","679"
"臺東縣","1130331","台灣大哥大股份有限公司                                                          ","4G","626"
"臺東縣","1130331","遠傳電信股份有限公司                                                            ","4G","572"
"臺南市","1130331","中華電信股份有限公司                                                            ","4G","2432"
"臺南市","1130331","台灣大哥大股份有限公司                                                          ","4G","2594"
"臺南市","1130331","遠傳電信股份有限公司                                                            ","4G","2384"
"澎湖縣","1130331","中華電信股份有限公司                                                            ","4G","215"
"澎湖縣","1130331","台灣大哥大股份有限公司                                                          ","4G","216"
"澎湖縣","1130331","遠傳電信股份有限公司                                                            ","4G","198"
"宜蘭縣","1130229","中華電信股份有限公司                                                            ","4G","1020"
"宜蘭縣","1130229","台灣大哥大股份有限公司                                                          ","4G","892"
"宜蘭縣","1130229","遠傳電信股份有限公司                                                            ","4G","779"
"花蓮縣","1130229","中華電信股份有限公司                                                            ","4G","987"
"花蓮縣","1130229","台灣大哥大股份有限公司                                                          ","4G","959"
"花蓮縣","1130229","遠傳電信股份有限公司                                                            ","4G","842"
"金門縣","1130229","中華電信股份有限公司                                                            ","4G","378"
"金門縣","1130229","台灣大哥大股份有限公司                                                          ","4G","157"
"金門縣","1130229","遠傳電信股份有限公司                                                            ","4G","151"
"南投縣","1130229","中華電信股份有限公司                                                            ","4G","1273"
"南投縣","1130229","台灣大哥大股份有限公司                                                          ","4G","1156"
"南投縣","1130229","遠傳電信股份有限公司                                                            ","4G","1143"
"屏東縣","1130229","中華電信股份有限公司                                                            ","4G","1243"
"屏東縣","1130229","台灣大哥大股份有限公司                                                          ","4G","1365"
"屏東縣","1130229","遠傳電信股份有限公司                                                            ","4G","1582"
"苗栗縣","1130229","中華電信股份有限公司                                                            ","4G","1401"
"苗栗縣","1130229","台灣大哥大股份有限公司                                                          ","4G","1145"
"苗栗縣","1130229","遠傳電信股份有限公司                                                            ","4G","1247"
"桃園市","1130229","中華電信股份有限公司                                                            ","4G","2208"
"桃園市","1130229","台灣大哥大股份有限公司                                                          ","4G","2788"
"桃園市","1130229","遠傳電信股份有限公司                                                            ","4G","2621"
"高雄市","1130229","中華電信股份有限公司                                                            ","4G","3620"
"高雄市","1130229","台灣大哥大股份有限公司                                                          ","4G","3513"
"高雄市","1130229","遠傳電信股份有限公司                                                            ","4G","3542"
"基隆市","1130229","中華電信股份有限公司                                                            ","4G","411"
"基隆市","1130229","台灣大哥大股份有限公司                                                          ","4G","411"
"基隆市","1130229","遠傳電信股份有限公司                                                            ","4G","552"
"連江縣","1130229","中華電信股份有限公司                                                            ","4G","121"
"連江縣","1130229","台灣大哥大股份有限公司                                                          ","4G","48"
"連江縣","1130229","遠傳電信股份有限公司                                                            ","4G","51"
"雲林縣","1130229","中華電信股份有限公司                                                            ","4G","1336"
"雲林縣","1130229","台灣大哥大股份有限公司                                                          ","4G","1001"
